Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am wind direction,9am wind speed (km/h),3pm Temperature (°C),3pm relative humidity (%),3pm wind direction,3pm wind speed (km/h)
4/1/2020,22.1,,0,NNW,52,9:39,28.7,54,NNW,7,42.5,13,NNW,28
5/1/2020,22.7,32.7,0,SSW,54,0:50,25.3,37,SSE,11,30.2,39,ESE,31
6/1/2020,17.7,26.5,0.6,SE,35,17:20,21.4,69,SE,17,25.1,58,SE,20
7/1/2020,20.5,36.4,1.4,WNW,37,20:42,21,92,SSE,6,33.6,36,ENE,6
8/1/2020,20.5,36.7,1.2,SE,46,14:58,27,66,S,11,33.5,43,E,31
9/1/2020,20.9,25.6,4.2,ESE,33,17:38,21.4,79,S,7,24.9,68,ESE,17
10/1/2020,21.3,,0,N,39,13:30,24.1,77,E,6,36.7,31,NNW,22
11/1/2020,21.7,22.5,0,S,41,5:35,22,74,SSE,4,20.9,67,SSE,13
12/1/2020,17.1,26.7,0,SE,52,15:01,20.3,58,ESE,17,24.7,40,E,26
13/1/2020,18.4,28.8,0,E,44,16:27,22.1,62,E,15,27.7,39,ESE,24
14/1/2020,19.1,32.4,0,ESE,43,15:33,24.4,61,E,17,30.1,40,ENE,15
15/1/2020,19,31.3,0,E,33,15:58,23.1,68,NE,6,30.7,44,E,15
16/1/2020,20.6,28.3,0,NW,46,11:39,26.7,66,S,4,20.8,89,N,11
17/1/2020,19.8,25.4,3.6,S,43,11:36,22.4,79,SSW,7,23.1,68,S,17
18/1/2020,19.3,22,1.6,SSW,26,12:25,20.4,89,SSW,9,20.5,85,S,7
19/1/2020,18.8,26.9,11.4,SSE,26,14:00,21.9,80,SSW,4,26.1,68,SSW,13
20/1/2020,18.3,34.3,3.2,NNE,37,13:52,23.2,77,SSW,2,28.6,57,NE,22
21/1/2020,18.5,35.3,0,ESE,46,18:33,25,43,NNW,13,33.1,22,NNW,26
22/1/2020,20.1,37.9,0,E,41,18:08,24.1,74,NE,7,35.5,18,NNW,26
23/1/2020,20.6,42.3,0,W,76,20:37,31.3,42,NW,19,40.8,18,NW,30
24/1/2020,25.3,32.2,0.6,NNW,44,9:17,30.1,56,NNW,28,24.3,84,E,15
25/1/2020,23.3,,4.4,ESE,33,18:05,23.9,82,ESE,13,30.3,58,SE,19
26/1/2020,,,0,SSW,93,16:27,,,NW,9,35.9,35,N,19
27/1/2020,,32.7,41.6,E,35,16:46,25.1,78,SSE,9,30.6,53,ESE,11
28/1/2020,21.7,39,0,SSW,54,18:13,26,73,SE,4,37.1,33,N,20
29/1/2020,22.7,30,27.4,SE,41,18:01,24.4,82,S,7,28.9,63,E,19
30/1/2020,20,33.7,0,E,37,16:24,24.1,74,ENE,13,32.6,40,E,9
31/1/2020,21.1,41.2,0,ESE,35,18:24,25.2,78,SSE,2,39.3,31,ENE,11
1/2/2020,24.1,43.5,0,NNW,48,9:12,33.6,41,NW,28,41.8,23,NNW,20
2/2/2020,32,43,0,S,56,19:01,34.8,34,NW,31,42.2,20,NNW,26
3/2/2020,23.3,36.8,7.6,SSE,48,21:24,24.2,93,ESE,4,34,51,NNW,4
4/2/2020,18.2,24.5,0.8,E,41,13:06,19.2,53,SSE,15,23,46,ESE,26
5/2/2020,15.8,28.1,0,SE,39,17:50,20.9,62,E,15,26.6,48,ESE,15
6/2/2020,20,21.3,0,ESE,33,4:38,20.1,86,ESE,15,20.3,87,ESE,20
7/2/2020,18.7,22.5,33.6,ESE,33,22:53,19.6,96,SE,19,20.4,94,SSW,15
8/2/2020,18.9,23.7,18.8,E,54,12:02,19.5,91,SE,17,23.1,79,SE,28
9/2/2020,19.1,22.1,40.6,SE,70,4:37,21,95,SE,33,21.4,95,ESE,9
10/2/2020,20.2,28.8,8.2,N,39,14:42,21.9,86,ESE,2,28.7,61,NE,4
11/2/2020,17.9,32.1,0.2,E,39,15:26,22.2,83,S,4,30.7,45,ENE,6
12/2/2020,20.9,29.1,0.2,ESE,41,16:44,23.8,75,SSE,13,28.7,64,E,19
13/2/2020,22,26.4,0,SE,43,14:24,24.3,82,ESE,15,25.7,82,ESE,22
14/2/2020,19.5,29.2,5.4,E,30,17:09,22.2,77,SSE,7,27.7,46,SE,20
15/2/2020,16,29.7,0.2,SE,30,14:19,21,76,SE,2,29.1,58,ESE,9
16/2/2020,17.8,26.8,1.4,SE,31,13:53,22.7,74,SSE,7,26.2,63,ESE,19
17/2/2020,19.9,24.4,1.6,NNE,43,9:59,20.4,93,SE,2,21.2,96,SW,2
18/2/2020,18.8,32.9,25.8,NNW,39,13:29,20.3,99,SW,6,31.1,53,NW,24
19/2/2020,19.5,29.8,23.8,SW,78,0:38,22.5,77,NW,13,29,29,NNW,28
20/2/2020,15.6,26.4,0.2,ESE,41,16:17,20.2,62,WSW,6,26.2,44,NE,7
21/2/2020,18.6,26,0,ESE,37,17:12,21.6,64,ESE,9,25,55,E,13
22/2/2020,17.5,25.7,0,E,39,16:23,21.9,74,SE,15,24.8,61,ESE,22
23/2/2020,19.2,24.9,0,ESE,26,19:51,21.4,72,ESE,17,24.2,55,E,17
24/2/2020,18.7,25,0.2,ESE,22,23:22,20.9,81,ESE,6,21.1,91,E,2
25/2/2020,17.7,29.6,1.8,NNE,24,13:26,21.8,77,SE,4,28.7,54,N,11
26/2/2020,19.8,31.7,0.2,NNW,56,13:56,24,71,NW,15,27.9,58,NW,35
27/2/2020,18.2,25.7,1.4,S,28,23:59,18.9,84,SW,7,23.6,66,ENE,6
28/2/2020,15,28.1,0,ESE,44,17:40,19.6,76,W,4,27.8,34,NE,7
29/2/2020,16.7,28,0.2,ESE,33,17:24,21,70,SSW,7,27.5,50,E,11
1/3/2020,17.4,32.7,0,NNW,44,15:35,20.9,84,S,4,31.5,37,NW,26
2/3/2020,19.3,36,0,NNW,44,12:53,24.1,65, ,Calm,35.6,27,NW,24
3/3/2020,19.7,22,0,SSE,22,3:45,20.3,78,S,7,21.2,81,SE,9
4/3/2020,18.9,24.8,1.8,ESE,37,13:41,21,88,E,22,23.7,75,ESE,24
5/3/2020,19.7,23.9,3,ESE,33,1:47,20.3,95,SE,13,21.8,96,ESE,11
6/3/2020,19.9,29.8,27.4,NW,37,7:41,23.8,81,NW,24,28.9,61,NNW,20
7/3/2020,18.8,22.3,4,ESE,30,17:26,19.9,78,S,9,19.5,85,ESE,15
8/3/2020,16,22.4,1.4,E,30,10:31,19,79,S,13,21.5,68,ESE,13
9/3/2020,16.6,21.9,0,ESE,33,14:37,18.1,82,S,11,20.6,71,E,15
10/3/2020,15.8,25.3,0,ESE,35,16:29,19.2,77,SSW,9,24.8,50,E,17
11/3/2020,14.1,23.7,0,ESE,43,11:37,18.7,77,S,7,22.1,61,E,24
12/3/2020,14.5,25.2,0,ESE,39,15:11,19.2,80,SSE,7,24.9,48,ESE,17
13/3/2020,12.5,26.4,0,ESE,31,17:46,17.8,76,WSW,2,24.6,49,ESE,11
14/3/2020,14,20.2,0,SSE,43,10:14,18.5,79,S,13,17.2,75,S,17
15/3/2020,12.5,21.8,5.6,SSE,35,15:00,15.8,74,S,19,21.7,61,SSE,20
16/3/2020,14.4,23.6,0.2,SSE,46,14:03,17.1,82,SSW,17,21.1,75,SSE,20
17/3/2020,14.3,23.2,4.2,SSE,30,12:50,16.6,82,S,13,19.1,84,NE,11
18/3/2020,12.2,25.9,0.8,SE,19,12:28,16,93,S,4,25.3,49,NE,4
19/3/2020,12.9,31.4,0.2,N,19,12:25,17.5,78,WNW,9,30.4,32,NNW,6
20/3/2020,16.8,33.2,0,NW,48,11:59,21.8,57,NW,9,32.4,29,NW,30
21/3/2020,16.7,28.2,0,ESE,33,22:56,20.6,80,SE,2,27.4,46,ENE,15
22/3/2020,17.8,30.4,0,ESE,37,17:51,19.7,89,ESE,7,29.6,40,NNW,13
23/3/2020,18.3,23.9,0,SSE,37,5:54,19.4,66,S,13,21.5,61,SE,19
24/3/2020,15.9,25.9,0,SE,31,15:11,19.6,75,ESE,13,24.8,54,ESE,15
25/3/2020,14.4,24.9,0,NW,35,11:52,18.7,78,SSE,6,19.4,93,WSW,7
26/3/2020,16.4,17.9,21.2,S,28,6:47,16.9,87,SSE,17,17.4,87,SSW,17
27/3/2020,15.3,22.9,3.4,E,41,15:22,17.6,89,SE,7,21.9,55,ESE,20
